
========== Nova Sessao ==========
Data/Hora: Fri Feb 13 23:39:22 2026
===================================

[23:39:35] Pacote #273: 89 bytes capturados, 89 bytes no fio
[23:39:35] Pacote #274: 133 bytes capturados, 133 bytes no fio
[23:39:35] Pacote #275: 145 bytes capturados, 145 bytes no fio
[23:39:35] Pacote #276: 158 bytes capturados, 158 bytes no fio
[23:39:35] Pacote #277: 190 bytes capturados, 190 bytes no fio
[23:39:35] Pacote #278: 140 bytes capturados, 140 bytes no fio
[23:39:35] Pacote #279: 50 bytes capturados, 50 bytes no fio
[23:39:35] Pacote #280: 50 bytes capturados, 50 bytes no fio
[23:39:36] Pacote #281: 94 bytes capturados, 94 bytes no fio
[23:39:37] Pacote #282: 94 bytes capturados, 94 bytes no fio
[23:39:37] Pacote #283: 60 bytes capturados, 60 bytes no fio
[23:39:37] Pacote #284: 102 bytes capturados, 102 bytes no fio
[23:39:37] Pacote #285: 42 bytes capturados, 42 bytes no fio
[23:39:37] Pacote #286: 42 bytes capturados, 42 bytes no fio
[23:39:38] Pacote #287: 94 bytes capturados, 94 bytes no fio
[23:39:39] Pacote #288: 159 bytes capturados, 159 bytes no fio
[23:39:39] Pacote #289: 94 bytes capturados, 94 bytes no fio
[23:39:39] Pacote #290: 142 bytes capturados, 142 bytes no fio
[23:39:39] Pacote #291: 86 bytes capturados, 86 bytes no fio
[23:39:40] Pacote #292: 116 bytes capturados, 116 bytes no fio
[23:39:40] Pacote #293: 94 bytes capturados, 94 bytes no fio
[23:39:40] Pacote #294: 116 bytes capturados, 116 bytes no fio
[23:39:40] Pacote #295: 70 bytes capturados, 70 bytes no fio
[23:39:40] Pacote #296: 209 bytes capturados, 209 bytes no fio
[23:39:40] Pacote #297: 66 bytes capturados, 66 bytes no fio
[23:39:40] Pacote #298: 105 bytes capturados, 105 bytes no fio
[23:39:40] Pacote #299: 66 bytes capturados, 66 bytes no fio
[23:39:40] Pacote #300: 50 bytes capturados, 50 bytes no fio
[23:39:40] Pacote #301: 50 bytes capturados, 50 bytes no fio
[23:39:41] Pacote #302: 94 bytes capturados, 94 bytes no fio
[23:39:41] Pacote #303: 129 bytes capturados, 129 bytes no fio
[23:39:41] Pacote #304: 86 bytes capturados, 86 bytes no fio
[23:39:41] Pacote #305: 86 bytes capturados, 86 bytes no fio
[23:39:41] Pacote #306: 126 bytes capturados, 126 bytes no fio
[23:39:41] Pacote #307: 86 bytes capturados, 86 bytes no fio
[23:39:42] Pacote #308: 94 bytes capturados, 94 bytes no fio
[23:39:42] Pacote #309: 243 bytes capturados, 243 bytes no fio
[23:39:42] Pacote #310: 66 bytes capturados, 66 bytes no fio
[23:39:42] Pacote #311: 102 bytes capturados, 102 bytes no fio
[23:39:42] Pacote #312: 129 bytes capturados, 129 bytes no fio
[23:39:42] Pacote #313: 86 bytes capturados, 86 bytes no fio
[23:39:43] Pacote #314: 126 bytes capturados, 126 bytes no fio
[23:39:43] Pacote #315: 86 bytes capturados, 86 bytes no fio
[23:39:43] Pacote #316: 46 bytes capturados, 46 bytes no fio
[23:39:43] Pacote #317: 94 bytes capturados, 94 bytes no fio
[23:39:43] Pacote #318: 46 bytes capturados, 46 bytes no fio
[23:39:44] Pacote #319: 130 bytes capturados, 130 bytes no fio
[23:39:44] Pacote #320: 94 bytes capturados, 94 bytes no fio
[23:39:44] Pacote #321: 97 bytes capturados, 97 bytes no fio
[23:39:44] Pacote #322: 66 bytes capturados, 66 bytes no fio
[23:39:45] Pacote #323: 66 bytes capturados, 66 bytes no fio
[23:39:45] Pacote #324: 66 bytes capturados, 66 bytes no fio
[23:39:45] Pacote #325: 94 bytes capturados, 94 bytes no fio
[23:39:45] Pacote #326: 50 bytes capturados, 50 bytes no fio
[23:39:45] Pacote #327: 50 bytes capturados, 50 bytes no fio
[23:39:46] Pacote #328: 94 bytes capturados, 94 bytes no fio
[23:39:46] Pacote #329: 74 bytes capturados, 74 bytes no fio
[23:39:47] Pacote #330: 94 bytes capturados, 94 bytes no fio
[23:39:47] Pacote #331: 87 bytes capturados, 87 bytes no fio
[23:39:47] Pacote #332: 107 bytes capturados, 107 bytes no fio
[23:39:47] Pacote #333: 107 bytes capturados, 107 bytes no fio
[23:39:47] Pacote #334: 107 bytes capturados, 107 bytes no fio
[23:39:47] Pacote #335: 87 bytes capturados, 87 bytes no fio
[23:39:47] Pacote #336: 107 bytes capturados, 107 bytes no fio
[23:39:47] Pacote #337: 107 bytes capturados, 107 bytes no fio
[23:39:47] Pacote #338: 107 bytes capturados, 107 bytes no fio
[23:39:47] Pacote #339: 74 bytes capturados, 74 bytes no fio
